scratchpad1-ADAIY3ZVOWQFB,2
scratchpad2-AAWKOMPUB02SL,3
scratchpad1-A80PZ8RASZZJI,2
andrew2-AQ4PB1PVI9U7V,3
scratchpad2-A3VOMP0WOJTB4I,1
scratchpad3-A80PZ8RASZZJI,3
andrew3-A3774HPOUKYTX7,3
andrew3-AEDV0CBBPU0RE,3
scratchpad1-ARQMVL81K3VZG,0
scratchpad1-A3774HPOUKYTX7,2
conference1-A26NGLGGFTATVN,3
conference1-A2QPJN3LPGTPDU,1
scratchpad1-AAWKOMPUB02SL,2
scratchpad3-AWPPIW21DGL29,2
conference3-A6LUA3WLPQ7OG,2
scratchpad2-A3SW1BXR31CZY0,3
andrew1-ADVZ6ZG7MEOKE,2
andrew1-A2QBY47K90M99E,3
andrew2-A3SIR6994WP6V,1
scratchpad1-AEDV0CBBPU0RE,2
scratchpad3-A3774HPOUKYTX7,3
andrew3-AYYSG3O9FNU15,3
andrew1-A3SIR6994WP6V,1
scratchpad3-A30ZBG4SIBCC2A,3
scratchpad3-AU8TGJAIKEBEF,3
conference2-AQ4PB1PVI9U7V,3
scratchpad3-A34AL11AXC9KK8,2
scratchpad1-AJMWITY1XT7H7,2
conference1-A19HCBT1EH8484,3
scratchpad3-AVNQIYIWOFMIR,3
andrew2-A19C6T7B0H4PAQ,3
andrew1-A1BJPNHVA4LTHD,3
scratchpad1-A34AL11AXC9KK8,1
andrew3-A3F7L0TIE1QEWW,2
conference3-ADWDNBND4BW94,2
andrew1-A3774HPOUKYTX7,3
scratchpad2-A2NBQXD2V7045H,2
andrew2-ADWDNBND4BW94,1
andrew2-A3M6D6HNOB7OZ,3
scratchpad2-A34AL11AXC9KK8,2
andrew3-A22R2NKWSYZ0KU,2
conference2-A2JCK494NV7TFX,3
scratchpad1-A2DNSD743W4OC2,0
andrew1-A19C6T7B0H4PAQ,3
andrew3-A2QBY47K90M99E,3
andrew2-A3SS78KBXB2EWG,2
scratchpad2-AQ4PB1PVI9U7V,1
scratchpad2-A25QEOBUEVJ750,2
scratchpad1-A3SW1BXR31CZY0,2
conference2-A3OIP9UQMPXZ69,3
andrew1-A3IFGWZXI17R3D,2
scratchpad1-A30ZBG4SIBCC2A,2
conference2-A3774HPOUKYTX7,2
conference2-A22QVNPVZ06RPI,3
scratchpad2-A2GY4KKNZ73T5B,3
andrew1-A3VOMP0WOJTB4I,3
conference2-A6LUA3WLPQ7OG,2
